Factor,Loss,Test
1e-06,0.06553176045417786,0.9819999933242798
1e-06,0.06483872979879379,0.9825999736785889
1e-06,0.06651301681995392,0.9815999865531921
1e-05,0.07692281901836395,0.9822999835014343
1e-05,0.07689180970191956,0.9810000061988831
1e-05,0.07496663182973862,0.9822999835014343
0.0001,0.12077371776103973,0.980400025844574
0.0001,0.11950928717851639,0.9812999963760376
0.0001,0.11839715391397476,0.9818000197410583
0.00015,0.1257978081703186,0.9825000166893005
0.00015,0.12559570372104645,0.9817000031471252
0.00015,0.12267278879880905,0.9832000136375427
0.001,0.11766629666090012,0.9812999963760376
0.001,0.12707732617855072,0.9764999747276306
0.001,0.11705318838357925,0.9814000129699707
